episodio,score,passos,segundos_jogo,bolas_usadas
980,282750,15727,131.06,3
981,464500,18880,157.33,3
982,328250,15112,125.93,3
983,366250,13513,112.61,3
984,306250,15415,128.46,3
985,243750,15508,129.23,3
986,193250,12626,105.22,3
987,856750,36724,306.03,3
988,1402750,34726,289.38,3
989,797500,13938,116.15,3
990,158500,9020,75.17,3
991,305500,14938,124.48,3
992,247000,14049,117.07,3
993,1099500,31686,264.05,3
994,509750,17049,142.07,3
995,979000,19420,161.83,3
996,532000,26965,224.71,3
997,415500,18457,153.81,3
998,967500,20439,170.32,3
999,259000,16570,138.08,3
