episodio,score,passos,segundos_jogo,bolas_usadas
101,1184500,27943,232.86,3
102,259000,12770,106.42,3
103,294500,15343,127.86,3
104,284750,18302,152.52,3
105,254500,15365,128.04,3
106,1044750,30373,253.11,3
107,375750,21720,181.00,3
108,410500,16750,139.58,3
109,201500,14983,124.86,3
110,1006500,36052,300.43,3
111,198750,15648,130.40,3
112,293000,17359,144.66,3
113,350500,12252,102.10,3
114,364000,17365,144.71,3
115,215250,12865,107.21,3
116,1071750,24216,201.80,3
117,411500,19504,162.53,3
118,1433000,31844,265.37,3
119,223500,12141,101.18,3
120,901000,35717,297.64,3
121,531500,20392,169.93,3
122,574250,16974,141.45,3
123,526500,22023,183.52,3
124,544500,24765,206.37,3
125,329500,16537,137.81,3
126,313000,20251,168.76,3
127,555250,20885,174.04,3
128,928500,20338,169.48,3
129,491750,20252,168.77,3
130,1048750,21384,178.20,3
131,207750,12780,106.50,3
132,594000,26746,222.88,3
133,616500,21841,182.01,3
134,205250,11147,92.89,3
135,607750,16627,138.56,3
136,188750,11594,96.62,3
137,427500,18657,155.48,3
138,262500,16218,135.15,3
139,333000,16646,138.72,3
140,441750,23812,198.43,3
141,441250,21701,180.84,3
142,107250,8675,72.29,3
143,831500,19529,162.74,3
144,476250,26541,221.17,3
145,961500,30466,253.88,3
146,344250,18024,150.20,3
147,270500,14157,117.97,3
148,245500,11222,93.52,3
149,387250,18525,154.38,3
150,266250,17441,145.34,3
151,405000,22937,191.14,3
152,281250,12565,104.71,3
153,804250,33310,277.58,3
154,318250,14750,122.92,3
155,677000,28853,240.44,3
156,1112000,31381,261.51,3
157,416000,18385,153.21,3
158,168750,12782,106.52,3
159,253750,12951,107.92,3
160,405750,15822,131.85,3
161,344500,18056,150.47,3
162,482000,17328,144.40,3
163,1105250,36528,304.40,3
164,385750,18674,155.62,3
165,2970750,43809,365.08,3
166,171750,10868,90.57,3
167,278500,14939,124.49,3
168,271250,15405,128.37,3
169,1085000,29179,243.16,3
170,152750,9829,81.91,3
171,487750,20087,167.39,3
172,717250,29263,243.86,3
173,305000,20580,171.50,3
174,1546000,64112,534.27,3
175,2504500,46202,385.02,3
176,191500,12079,100.66,3
177,311000,14919,124.32,3
178,667500,32128,267.73,3
179,563000,28216,235.13,3
180,981500,36894,307.45,3
181,219750,13199,109.99,3
182,350750,18406,153.38,3
183,962000,38254,318.78,3
184,464000,33408,278.40,3
185,250250,14815,123.46,3
186,668250,31841,265.34,3
187,708500,25529,212.74,3
188,387250,17332,144.43,3
189,288250,16909,140.91,3
190,288000,15375,128.12,3
191,219000,11769,98.07,3
192,1124250,29267,243.89,3
193,434250,18766,156.38,3
194,656750,34954,291.28,3
195,282750,14912,124.27,3
196,534500,27919,232.66,3
197,232000,13528,112.73,3
198,346750,18470,153.92,3
199,323250,16776,139.80,3
200,274000,21984,183.20,3
201,262250,13776,114.80,3
202,228250,15626,130.22,3
203,559750,21006,175.05,3
204,342750,15173,126.44,3
205,1108250,26878,223.98,3
206,155500,10403,86.69,3
207,224750,13073,108.94,3
208,309500,18691,155.76,3
209,351750,18855,157.12,3
210,335000,14551,121.26,3
211,896750,19029,158.57,3
212,797750,18134,151.12,3
213,919250,26963,224.69,3
214,250250,15205,126.71,3
215,210750,15367,128.06,3
216,410250,21283,177.36,3
217,327000,17368,144.73,3
218,359750,16774,139.78,3
219,368250,23087,192.39,3
220,343250,13606,113.38,3
221,370500,16616,138.47,3
222,247750,14164,118.03,3
223,504500,28864,240.53,3
224,449000,19078,158.98,3
225,647000,23988,199.90,3
226,475500,21166,176.38,3
227,1278250,31125,259.37,3
228,371500,20259,168.82,3
229,559250,27016,225.13,3
230,212250,15496,129.13,3
231,602500,22820,190.17,3
232,573750,25960,216.33,3
233,881250,35249,293.74,3
234,145750,11170,93.08,3
235,452000,18652,155.43,3
236,479750,27686,230.72,3
237,172000,13441,112.01,3
238,160250,11644,97.03,3
239,247500,17180,143.17,3
240,382000,17029,141.91,3
241,272750,12663,105.52,3
242,167750,12933,107.77,3
243,403250,18718,155.98,3
244,252000,15018,125.15,3
245,863750,30361,253.01,3
246,402500,21289,177.41,3
247,469500,21714,180.95,3
248,1528750,34061,283.84,3
249,516000,20893,174.11,3
250,247750,15881,132.34,3
251,219250,16429,136.91,3
252,1078000,23033,191.94,3
253,692000,25153,209.61,3
254,653250,28418,236.82,3
255,378500,20169,168.07,3
256,860500,15032,125.27,3
257,215250,14787,123.22,3
258,374500,18972,158.10,3
259,492250,29417,245.14,3
260,1475750,37673,313.94,3
261,632750,28102,234.18,3
262,255000,15102,125.85,3
263,566500,30652,255.43,3
264,266500,16774,139.78,3
265,275250,18885,157.38,3
266,330250,17632,146.93,3
267,787250,22949,191.24,3
268,542250,33019,275.16,3
269,736500,24471,203.93,3
270,388250,15344,127.87,3
271,236500,14408,120.07,3
272,595000,23506,195.88,3
273,329500,17492,145.77,3
274,261500,16242,135.35,3
275,770000,33954,282.95,3
276,437750,17273,143.94,3
277,493500,22225,185.21,3
278,404500,21408,178.40,3
279,163000,9272,77.27,3
280,433750,21319,177.66,3
281,389750,21576,179.80,3
282,483500,16994,141.62,3
283,547250,23421,195.18,3
284,411000,15001,125.01,3
285,348250,18707,155.89,3
286,913000,21886,182.38,3
287,275250,13586,113.22,3
288,442750,20261,168.84,3
289,466250,22254,185.45,3
290,104500,9728,81.07,3
291,540250,22802,190.02,3
292,563250,23067,192.23,3
