agente,ep,score,duracao,rank,progresso,alvos,missoes,bolas_sobrando,vel_mediana,pct_parada,pct_topo,pct_ambos,pct_nada
6. sobrevivencia pura,10,221000,207.49998474121094,1,0,4,0,2,0.20581206306815147,59.824999999999996,12.4375,47.7625,20.4375
6. sobrevivencia pura,11,38750,207.49998474121094,1,0,2,0,2,0.16647394746541977,84.91250000000001,6.3375,38.0625,10.575
7. + progresso de rank,0,673250,162.6083221435547,4,8,9,0,0,10.40292501449585,10.282030620467365,22.111200644641418,23.481063658340048,14.76228847703465
7. + progresso de rank,1,262500,83.76666259765625,1,4,2,0,0,9.405285716056824,13.438216978039987,40.90462143559488,28.64634546050475,14.945919370698132
7. + progresso de rank,2,1009000,207.49998474121094,1,0,9,0,1,10.827627182006836,7.112499999999999,35.125,26.2375,12.6125
7. + progresso de rank,3,814000,207.49998474121094,1,0,11,0,1,9.914915561676025,9.637500000000001,25.2,29.275,14.4625
7. + progresso de rank,4,658500,207.49998474121094,1,0,6,0,2,9.77059543132782,8.25,28.9375,24.9875,13.4625
7. + progresso de rank,5,1621250,207.49998474121094,1,6,10,1,2,9.963740408420563,7.6375,24.575,43.875,16.7625
7. + progresso de rank,6,623250,193.941650390625,1,6,6,0,0,10.131554007530212,7.294180745508179,26.883883078573344,31.322070260123358,17.860016090104587
7. + progresso de rank,7,460000,152.30833435058594,4,4,5,0,0,9.921229481697083,10.012083549110997,26.307612635939925,25.254617641981703,13.412739513205594
7. + progresso de rank,8,294250,125.92499542236328,2,5,9,0,0,10.444285869598389,10.365210048553937,24.0025332488917,26.366898881148405,16.50833861093519
7. + progresso de rank,9,1439250,207.49998474121094,1,6,9,1,1,10.773441791534424,8.987499999999999,32.15,27.5875,10.9375
7. + progresso de rank,10,949250,207.49998474121094,1,0,6,0,2,9.684197902679443,7.8625,25.6,37.7125,12.3125
7. + progresso de rank,11,1201250,207.49998474121094,1,6,11,1,2,9.170196950435638,8.725,23.175,31.025,13.9
8. + fluxo de missao,0,719750,206.8583221435547,1,0,17,0,1,9.640436172485352,8.512500000000001,24.0375,34.025,17.875
8. + fluxo de missao,1,408750,132.375,1,8,5,0,0,10.693589448928833,10.39039039039039,31.61161161161161,31.23123123123123,18.17817817817818
8. + fluxo de missao,2,1143000,207.49998474121094,1,6,8,1,1,6.983975470066071,12.5,11.7875,40.725,13.8625
8. + fluxo de missao,3,1586000,207.49998474121094,1,12,11,2,2,9.336491525173187,8.5625,24.087500000000002,41.0375,9.15
8. + fluxo de missao,4,1492500,207.49998474121094,1,6,15,1,3,10.282427072525024,5.050000000000001,11.737499999999999,35.0875,11.825
8. + fluxo de missao,5,458250,165.29165649414062,6,4,8,0,0,8.962489664554596,11.153358681875792,18.55196451204056,32.366920152091254,20.8808618504436
8. + fluxo de missao,6,1333000,207.49998474121094,1,9,12,1,2,7.343273162841797,10.35,16.075,37.925,12.1875
8. + fluxo de missao,7,165500,102.79999542236328,1,5,5,0,0,7.812148928642273,14.428121720881427,13.929695697796433,31.584470094438615,17.313746065057714
8. + fluxo de missao,8,1216000,207.49998474121094,1,6,4,1,3,9.170562326908112,8.825,21.637500000000003,39.3875,11.4875
8. + fluxo de missao,9,1014500,207.49998474121094,1,0,5,0,1,8.78900796175003,10.4625,18.2625,30.9125,18.2375
8. + fluxo de missao,10,1119750,207.49998474121094,1,6,7,1,1,8.371469378471375,9.275,17.025000000000002,35.75,20.1
8. + fluxo de missao,11,3360750,207.49998474121094,1,12,10,2,3,9.840176105499268,8.2125,15.325,37.4375,7.8625
