episodio,passo,tempo_s,x,y,vx,vy,speed,score,bolas_restantes,luzes,mult,acao_esq,acao_dir,flip_esq,flip_dir,rel_esq_x,rel_esq_y,rel_dir_x,rel_dir_y,tela_x,tela_y
22,26608,672.7,2.466,11.3311,-0.0067,0.1062,0.1064,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26612,672.8,2.4619,11.3344,-0.1231,0.1963,0.2317,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26616,672.9,2.4659,11.3316,0.1439,0.0068,0.144,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26620,673.0,2.466,11.3311,-0.0068,0.1062,0.1064,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26624,673.1,2.4619,11.3344,-0.1231,0.1964,0.2318,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26628,673.2,2.4659,11.3316,0.1437,0.007,0.1439,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26632,673.3,2.466,11.3311,-0.007,0.1062,0.1064,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26636,673.4,2.4619,11.3344,-0.123,0.1962,0.2316,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26640,673.5,2.4659,11.3316,0.144,0.007,0.1442,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26644,673.6,2.466,11.3311,-0.0069,0.1062,0.1064,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26648,673.7,2.4619,11.3344,-0.1233,0.1964,0.2319,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26652,673.8,2.4659,11.3316,0.1436,0.007,0.1438,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26656,673.9,2.466,11.3311,-0.0069,0.1062,0.1064,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26660,674.0,2.4619,11.3344,-0.123,0.1963,0.2316,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26664,674.1,2.4659,11.3316,0.1438,0.0069,0.144,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26668,674.2,2.466,11.3311,-0.0067,0.1059,0.1061,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26672,674.3,2.4619,11.3344,-0.1233,0.1964,0.2319,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26676,674.4,2.4659,11.3316,0.1441,0.0069,0.1443,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26680,674.5,2.466,11.3311,-0.0067,0.1061,0.1063,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26684,674.6,2.4619,11.3344,-0.123,0.1964,0.2318,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26688,674.7,2.4659,11.3316,0.144,0.0069,0.1442,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26692,674.8,2.466,11.3311,-0.0069,0.1061,0.1063,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26696,674.9,2.4619,11.3344,-0.1229,0.1963,0.2316,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26700,675.0,2.4659,11.3316,0.144,0.007,0.1442,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26704,675.1,2.466,11.3311,-0.0069,0.1062,0.1064,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26708,675.2,2.4619,11.3344,-0.1231,0.1964,0.2317,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26712,675.3,2.4659,11.3316,0.144,0.0068,0.1441,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26716,675.4,2.466,11.3311,-0.0067,0.1061,0.1063,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26720,675.5,2.4619,11.3344,-0.1232,0.1963,0.2318,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26724,675.6,2.4659,11.3316,0.1438,0.007,0.144,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26728,675.7,2.466,11.3311,-0.0067,0.1061,0.1063,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26732,675.8,2.4619,11.3344,-0.1231,0.1963,0.2317,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26736,675.9,2.4659,11.3316,0.1438,0.0068,0.144,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
22,26740,676.0,2.466,11.3311,-0.0069,0.1062,0.1064,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.732,4.955,-0.732,133,368
22,26744,676.1,2.4619,11.3344,-0.123,0.1964,0.2317,10250,3,7,0,1,1,1.0,1.0,-0.027,-0.729,4.951,-0.729,133,368
22,26748,676.2,2.4659,11.3316,0.1441,0.007,0.1442,10250,3,7,0,1,1,1.0,1.0,-0.023,-0.731,4.955,-0.731,133,368
