modelo,episodio,score,tempo_s,duracao_s,passos,flipper_ligado,acionamentos_s,tacadas_s,acerto_por_acionamento,ambos
ppo_c9_i2_nov,3,724000,173.8,498.8,6651,0.7528,6.606,0.116,0.0176,0.2715
ppo_c9_i2_nov,4,1078250,181.1,520.6,6942,0.7812,6.694,0.157,0.0235,0.2808
ppo_c9_i2_nov,5,617000,199.3,575.4,7672,0.7234,7.204,0.092,0.0128,0.2758
ppo_c9_i2_nov,6,831500,142.8,406.0,5413,0.7951,6.505,0.084,0.0129,0.2677
ppo_c9_i2_nov,7,333250,135.6,384.4,5126,0.7749,6.55,0.159,0.0242,0.2817
ppo_c9_i2_nov,8,1806000,272.4,794.6,10595,0.7569,6.919,0.156,0.0226,0.2773
ppo_c9_i2_nov,9,1819500,234.7,681.6,9088,0.7742,6.818,0.2,0.0293,0.2652
ppo_c9_i3_bolas,0,394750,130.3,368.4,4912,0.8459,8.029,0.109,0.0135,0.1728
ppo_c9_i3_bolas,1,288500,109.0,304.6,4062,0.8998,7.093,0.125,0.0176,0.2088
ppo_c9_i3_bolas,2,2784000,266.0,775.6,10342,0.8539,7.126,0.141,0.0197,0.1929
ppo_c9_i3_bolas,3,449000,123.2,347.0,4627,0.8433,7.469,0.13,0.0174,0.2006
ppo_c9_i3_bolas,4,597500,166.5,476.9,6359,0.8493,7.783,0.099,0.0127,0.1713
ppo_c9_i3_bolas,5,1183250,169.4,485.9,6478,0.8601,6.864,0.13,0.0189,0.1774
ppo_c9_i3_bolas,6,2082250,298.4,872.6,11635,0.8358,7.433,0.143,0.0193,0.2175
ppo_c9_i3_bolas,7,336250,119.8,336.9,4492,0.8304,7.732,0.11,0.0142,0.1663
ppo_c9_i3_bolas,8,123250,73.2,197.1,2628,0.8699,7.722,0.091,0.0118,0.1507
ppo_c9_i3_bolas,9,1265500,194.4,560.6,7475,0.8669,6.96,0.146,0.021,0.198
ppo_c9_i6_longo,0,1012500,150.8,430.1,5734,0.8873,5.534,0.153,0.0277,0.3713
ppo_c9_i6_longo,1,1642000,258.6,753.4,10045,0.8722,5.966,0.182,0.0305,0.3349
ppo_c9_i6_longo,2,4060000,485.5,1433.9,19119,0.8537,5.979,0.179,0.03,0.2877
ppo_c9_i6_longo,3,2490000,396.2,1166.1,15548,0.8777,5.534,0.135,0.0245,0.3593
ppo_c9_i6_longo,4,2747500,369.9,1087.1,14495,0.8568,5.818,0.185,0.0318,0.3527
ppo_c9_i6_longo,5,532000,121.1,340.7,4543,0.8563,6.125,0.135,0.022,0.3249
ppo_c9_i6_longo,6,2324000,355.8,1045.0,13934,0.8581,6.036,0.15,0.0249,0.3025
ppo_c9_i6_longo,7,3119250,508.5,1503.0,20040,0.8736,5.65,0.207,0.0366,0.3185
ppo_c9_i6_longo,8,4354250,651.3,1931.3,25751,0.8431,5.797,0.166,0.0286,0.321
ppo_c9_i6_longo,9,1993750,279.6,816.5,10886,0.8878,5.88,0.214,0.0365,0.3111
